Grand Lotto 6/55#42-11-47-12-30-54#12/9/2024#42,980,591.40#0
Megalotto 6/45#33-29-11-36-19-12#12/9/2024#14,361,027.20#0
4D Lotto#4-1-0-3#12/9/2024#26,294.00#30
3D Lotto 2PM#7-5-2#12/9/2024#4,500.00#184
3D Lotto 5PM#9-8-7#12/9/2024#4,500.00#221
3D Lotto 9PM#3-9-1#12/9/2024#4,500.00#314
2D Lotto 2PM#24-25#12/9/2024#4,000.00#211
2D Lotto 5PM#19-19#12/9/2024#4,000.00#559
2D Lotto 9PM#30-21#12/9/2024#4,000.00#126
Ultra Lotto 6/58#44-05-30-50-29-57#12/8/2024#197,188,438.00#0
Superlotto 6/49#32-44-36-39-38-20#12/8/2024#37,003,288.40#0
3D Lotto 2PM#0-4-0#12/8/2024#4,500.00#140
3D Lotto 5PM#7-3-1#12/8/2024#4,500.00#351
3D Lotto 9PM#3-6-4#12/8/2024#4,500.00#309
2D Lotto 2PM#20-16#12/8/2024#4,000.00#113
2D Lotto 5PM#29-08#12/8/2024#4,000.00#87
2D Lotto 9PM#15-13#12/8/2024#4,000.00#191
Grand Lotto 6/55#33-41-20-43-15-18#12/7/2024#38,954,484.60#0
Lotto 6/42#28-29-06-05-37-13#12/7/2024#16,730,482.00#0
6D Lotto#1-8-5-0-0-4#12/7/2024#1,890,108.28#0
3D Lotto 2PM#6-1-9#12/7/2024#4,500.00#176
3D Lotto 5PM#7-3-6#12/7/2024#4,500.00#307
3D Lotto 9PM#1-9-7#12/7/2024#4,500.00#432
2D Lotto 2PM#25-24#12/7/2024#4,000.00#403
2D Lotto 5PM#22-08#12/7/2024#4,000.00#166
2D Lotto 9PM#07-17#12/7/2024#4,000.00#985
Ultra Lotto 6/58#18-47-03-05-39-44#12/6/2024#189,217,939.20#0
Megalotto 6/45#13-40-09-30-14-01#12/6/2024#10,656,606.00#0
4D Lotto#0-0-2-8#12/6/2024#19,429.00#8
3D Lotto 2PM#5-1-4#12/6/2024#4,500.00#592
3D Lotto 5PM#6-2-3#12/6/2024#4,500.00#486
3D Lotto 9PM#0-5-0#12/6/2024#4,500.00#429
2D Lotto 2PM#09-20#12/6/2024#4,000.00#515
2D Lotto 5PM#08-24#12/6/2024#4,000.00#403
2D Lotto 9PM#26-24#12/6/2024#4,000.00#438
Superlotto 6/49#31-11-47-24-21-23#12/5/2024#32,899,971.60#0
Lotto 6/42#17-21-13-35-41-26#12/5/2024#12,948,567.80#0
6D Lotto#9-1-8-5-3-3#12/5/2024#1,482,935.28#0
3D Lotto 2PM#4-3-1#12/5/2024#4,500.00#269
3D Lotto 5PM#0-8-8#12/5/2024#4,500.00#180
3D Lotto 9PM#5-7-4#12/5/2024#4,500.00#469
2D Lotto 2PM#19-25#12/5/2024#4,000.00#311
2D Lotto 5PM#27-24#12/5/2024#4,000.00#58
2D Lotto 9PM#21-26#12/5/2024#4,000.00#410
Grand Lotto 6/55#09-18-02-01-37-32#12/4/2024#34,913,392.80#0
Megalotto 6/45#35-42-05-09-10-31#12/4/2024#8,910,000.00#0
4D Lotto#1-0-4-6#12/4/2024#29,177.00#32
3D Lotto 2PM#4-3-9#12/4/2024#4,500.00#229
3D Lotto 5PM#4-1-2#12/4/2024#4,500.00#592
3D Lotto 9PM#9-6-5#12/4/2024#4,500.00#250
2D Lotto 2PM#11-01#12/4/2024#4,000.00#148
2D Lotto 5PM#28-07#12/4/2024#4,000.00#47
2D Lotto 9PM#12-09#12/4/2024#4,000.00#985
Ultra Lotto 6/58#12-06-45-07-51-01#12/3/2024#180,441,043.60#0
Superlotto 6/49#02-39-48-35-05-46#12/3/2024#28,442,398.40#0
Lotto 6/42#27-38-26-04-39-19#12/3/2024#9,445,172.20#0
6D Lotto#7-2-0-9-3-4#12/3/2024#1,028,047.68#0
3D Lotto 2PM#1-7-9#12/3/2024#4,500.00#573
